slug,name,preferred,security_emails,policy_url,portal_type,portal_url,immunefi_url,last_verified,confidence,needs_review
deriprotocol,Deriprotocol,direct,,,,,,2026-02-12,0.3,true
dex-protocol,DeXe Protocol,direct,,,,,,2026-02-12,0.3,true
dexeprotocol,DeXe Protocol,direct,,,,,,2026-02-12,0.3,true
dforce,dForce,direct,,,,,,2026-02-12,0.3,true
dfxfinance,Dfxfinance,direct,,,,,,2026-02-12,0.3,true
dhedge,dHEDGE,direct,,,,,,2026-02-12,0.3,true
dodo,Dodo,direct,,,,,,2026-02-12,0.3,true
dodov3,Dodov3,direct,,,,,,2026-02-12,0.3,true
driftprotocol,Driftprotocol,direct,,,,,,2026-02-12,0.3,true
drips,Drips,direct,,,,,,2026-02-12,0.3,true
duetfinance,Duetfinance,direct,,,,,,2026-02-12,0.3,true
ebtc,Ebtc,direct,,,,,,2026-02-12,0.3,true
eckodao,Eckodao,direct,,,,,,2026-02-12,0.3,true
eclipse,Eclipse,direct,,,,,,2026-02-12,0.3,true
eco,Eco,direct,,,,,,2026-02-12,0.3,true
econia,Econia,direct,,,,,,2026-02-12,0.3,true
eigenlayer,EigenLayer,direct,,,,,,2026-02-12,0.3,true
elixirprotocol,Elixirprotocol,direct,,,,,,2026-02-12,0.3,true
enosys,Enosys,direct,,,,,,2026-02-12,0.3,true
ens,ENS,direct,,,,,,2026-02-12,0.3,true
ensuro,Ensuro,direct,,,,,,2026-02-12,0.7,true
enzyme-onyx,Enzyme Onyx,direct,,,,,,2026-02-12,0.3,true
enzymefinance,Enzymefinance,direct,,,,,,2026-02-12,0.3,true
ethena,Ethena,direct,,,,,,2026-02-12,0.3,true
etherfi,Ether.fi,direct,,,,,,2026-02-12,0.3,true
euphrates,Euphrates,direct,,,,,,2026-02-12,0.3,true
exactly,Exactly,direct,,,,,,2026-02-12,0.3,true
example-protocol,Example Protocol,portal,,,immunefi,https://immunefi.com/bug-bounty/example-protocol,https://immunefi.com/bug-bounty/example-protocol,2026-02-12,0.3,true
exodus,Exodus,direct,,,,,,2026-02-12,0.3,true
extrafinance,Extrafinance,direct,,,,,,2026-02-12,0.3,true
farcaster,Farcaster,direct,,,,,,2026-02-12,0.3,true
fassets,Fassets,direct,,,,,,2026-02-12,0.3,true
fbtc,Fbtc,direct,,,,,,2026-02-12,0.3,true
felix,Felix,direct,,,,,,2026-02-12,0.3,true
filecoin,Filecoin,direct,,,,,,2026-02-12,0.3,true
firedancer,Firedancer,direct,,,,,,2026-02-12,0.3,true
flamingofinance,Flamingo Finance,direct,,,,,,2026-02-12,0.7,true
flarenetwork,Flarenetwork,direct,,,,,,2026-02-12,0.3,true
flexytech,Flexytech,direct,,,,,,2026-02-12,0.3,true
floki,Floki,direct,,,,,,2026-02-12,0.3,true
fluxfinance,Flux Finance,direct,,,,,,2026-02-12,0.3,true
foil,Foil,direct,,,,,,2026-02-12,0.3,true
folksfinance,Folksfinance,direct,,,,,,2026-02-12,0.3,true
forta,Forta,direct,,,,,,2026-02-12,0.3,true
foundation,Foundation,direct,,,,,,2026-02-12,0.3,true
furucombo,Furucombo,direct,,,,,,2026-02-12,0.7,true
furucombofunds,Furucombofunds,direct,,,,,,2026-02-12,0.3,true
gainsnetwork,Gains Network,direct,,,,,,2026-02-12,0.3,true
galagames,Galagames,direct,,,,,,2026-02-12,0.3,true
gamma,Gamma,direct,,,,,,2026-02-12,0.3,true
gammaswap,Gammaswap,direct,,,,,,2026-02-12,0.3,true
gear,Gear,direct,,,,,,2026-02-12,0.3,true
gearbox,Gearbox,direct,,,,,,2026-02-12,0.7,true
geniusyield,Geniusyield,direct,,,,,,2026-02-12,0.3,true
gerowallet,Gerowallet,direct,,,,,,2026-02-12,0.3,true
ghostmarket,Ghostmarket,direct,,,,,,2026-02-12,0.3,true
glodollar,Glodollar,direct,,,,,,2026-02-12,0.3,true
gmx,GMX,direct,,,,,,2026-02-12,0.3,true
gnosischain,Gnosis Chain,direct,,,,,,2026-02-12,0.3,true
gogopool,Gogopool,direct,,,,,,2026-02-12,0.3,true
goldfinch,Goldfinch,direct,,,,,,2026-02-12,0.3,true
granite-protocol,Granite Protocol,direct,,,,,,2026-02-12,0.3,true
gysr,Gysr,direct,,,,,,2026-02-12,0.3,true
hakkafinance,Hakkafinance,direct,,,,,,2026-02-12,0.3,true
halogen,Halogen,direct,,,,,,2026-02-12,0.3,true
harvest,Harvest,direct,,,,,,2026-02-12,0.3,true
hashflow,Hashflow,direct,,,,,,2026-02-12,0.3,true
hathornetwork,Hathornetwork,direct,,,,,,2026-02-12,0.3,true
haven1,Haven1,direct,,,,,,2026-02-12,0.3,true
hedera,Hedera,direct,,,,,,2026-02-12,0.3,true
helios-finance,Helios Finance,direct,,,,,,2026-02-12,0.3,true
hibachi,Hibachi,direct,,,,,,2026-02-12,0.3,true
hoenn,Hoenn,direct,,,,,,2026-02-12,0.3,true
horizen,Horizen,direct,,,,,,2026-02-12,0.3,true
hourglass,Hourglass,direct,,,,,,2026-02-12,0.3,true
hydradx,Hydradx,direct,,,,,,2026-02-12,0.3,true
hydration,Hydration,direct,,,,,,2026-02-12,0.3,true
hydro,Hydro,direct,,,,,,2026-02-12,0.3,true
hyperlane,Hyperlane,direct,,,,,,2026-02-12,0.3,true
ichi,Ichi,direct,,,,,,2026-02-12,0.3,true
icon,Icon,direct,,,,,,2026-02-12,0.3,true
idex,Idex,direct,,,,,,2026-02-12,0.3,true
idlefinance,Idlefinance,direct,,,,,,2026-02-12,0.3,true
illuvium,Illuvium,direct,,,,,,2026-02-12,0.3,true
immunefi,Immunefi,direct,,,,,,2026-02-12,0.3,true
immutable,Immutable,direct,,,,,,2026-02-12,0.3,true
impossible-cloud-network,Impossible Cloud Network,direct,,,,,,2026-02-12,0.3,true
impossiblefinance,Impossiblefinance,direct,,,,,,2026-02-12,0.3,true
indexcoop,Index Coop,direct,,,,,,2026-02-12,0.3,true
infinex,Infinex,direct,,,,,,2026-02-12,0.3,true
injective,Injective,direct,,,,,,2026-02-12,0.3,true
instadapp,Instadapp,direct,,,,,,2026-02-12,0.3,true
integral,Integral,direct,,,,,,2026-02-12,0.3,true
integriteenetwork,Integriteenetwork,direct,,,,,,2026-02-12,0.3,true
interlay,Interlay,direct,,,,,,2026-02-12,0.3,true
intmax,INTMAX,direct,,,,,,2026-02-12,0.3,true
inverse-finance,Inverse Finance,direct,,,,,,2026-02-12,0.3,true
ion-protocol,Ion Protocol,direct,,,,,,2026-02-12,0.3,true
ipor,IPOR,direct,,,,,,2026-02-12,0.3,true
jito-bam-client,Jito Bam Client,direct,,,,,,2026-02-12,0.3,true
jito-foundation,Jito Foundation,direct,,,,,,2026-02-12,0.3,true
jito,Jito,direct,,,,,,2026-02-12,0.3,true
justlenddao,Justlenddao,direct,,,,,,2026-02-12,0.3,true
kadena,Kadena,direct,,,,,,2026-02-12,0.3,true
kamino,Kamino,direct,,,,,,2026-02-12,0.3,true
keep3rnetwork,Keep3rnetwork,direct,,,,,,2026-02-12,0.3,true
kelp-dao,Kelp DAO,direct,,,,,,2026-02-12,0.3,true
kiln-defi,Kiln DeFi,direct,,,,,,2026-02-12,0.3,true
kiln-on-chain-v1,Kiln On-Chain v1,direct,,,,,,2026-02-12,0.3,true
kiln-webapp,Kiln Webapp,direct,,,,,,2026-02-12,0.3,true
kiln,Kiln On-Chain v2,direct,,,,,,2026-02-12,0.3,true
kinesis-bridge-on-kadena,Kinesis Bridge On Kadena,direct,,,,,,2026-02-12,0.3,true
kwenta,Kwenta,direct,,,,,,2026-02-12,0.3,true
landx,Landx,direct,,,,,,2026-02-12,0.3,true
layer3,Layer3.xyz,direct,,,,,,2026-02-12,0.3,true
layerzero,LayerZero,direct,,,,,,2026-02-12,0.3,true
lendr,Lendr,direct,,,,,,2026-02-12,0.3,true
lido,Lido,direct,security@lido.fi,https://immunefi.com/bug-bounty/lido/information/,,,,2026-02-12,0.7,false
lidoonpolygon,Lidoonpolygon,direct,,,,,,2026-02-12,0.3,true
lifi,Lifi,direct,,,,,,2026-02-12,0.3,true
light-protocol,Light Protocol,direct,,,,,,2026-02-12,0.3,true
linea,Linea,direct,,,,,,2026-02-12,0.3,true
liquidswap,Liquidswap,direct,,,,,,2026-02-12,0.7,true
listadao,Lista DAO,direct,,,,,,2026-02-12,0.3,true
livepeer,Livepeer,direct,,,,,,2026-02-12,0.3,true
localtraders,Localtraders,direct,,,,,,2026-02-12,0.3,true
lombard-finance,Lombard Finance,direct,,,,,,2026-02-12,0.3,true
lossless,Lossless,direct,,,,,,2026-02-12,0.3,true
lybrafinance,Lybrafinance,direct,,,,,,2026-02-12,0.3,true
lyra,Lyra,direct,,,,,,2026-02-12,0.3,true
magpiexyz,Magpiexyz,direct,,,,,,2026-02-12,0.3,true
mantlelsp,Mantlelsp,direct,,,,,,2026-02-12,0.3,true
maple,Maple,direct,,,,,,2026-02-12,0.3,true
marinade,Marinade,direct,,,,,,2026-02-12,0.3,true
mars,Mars,direct,,,,,,2026-02-12,0.3,true
marsecosystem,Marsecosystem,direct,,,,,,2026-02-12,0.3,true
mayaprotocol,Mayaprotocol,direct,,,,,,2026-02-12,0.3,true
meanfinance,Meanfinance,direct,,,,,,2026-02-12,0.3,true
metalswap,Metalswap,direct,,,,,,2026-02-12,0.3,true
metastreet-yield-pass,Metastreet Yield Pass,direct,,,,,,2026-02-12,0.3,true
metastreet,Metastreet,direct,,,,,,2026-02-12,0.3,true
meth,mETH Protocol,direct,,,,,,2026-02-12,0.3,true
metis,Metis,direct,,,,,,2026-02-12,0.3,true
metronome,Metronome,direct,,,,,,2026-02-12,0.3,true
monero-oxide,Monero Oxide,direct,,,,,,2026-02-12,0.3,true
moneyonchain,Moneyonchain,direct,,,,,,2026-02-12,0.3,true
moonbeamnetwork,Moonbeamnetwork,direct,,,,,,2026-02-12,0.3,true
moonwell,Moonwell,direct,,,,,,2026-02-12,0.3,true
morpho,Morpho,direct,,,,,,2026-02-12,0.3,true
mountainprotocol,Mountainprotocol,direct,,,,,,2026-02-12,0.3,true
mtpelerin,Mtpelerin,direct,,,,,,2026-02-12,0.3,true
mux,Mux,direct,,,,,,2026-02-12,0.3,true
myntandzero,Myntandzero,direct,,,,,,2026-02-12,0.3,true
native,Native,direct,,,,,,2026-02-12,0.3,true
nayms,Nayms,direct,,,,,,2026-02-12,0.3,true
neo,Neo,direct,,,,,,2026-02-12,0.3,true
neutron,Neutron,direct,,,,,,2026-02-12,0.3,true
nexusmutual,Nexus Mutual,direct,,,,,,2026-02-12,0.3,true
nftfi,Nftfi,direct,,,,,,2026-02-12,0.3,true
nftfitestnetrefi,Nftfitestnetrefi,direct,,,,,,2026-02-12,0.3,true
nftx,Nftx,direct,,,,,,2026-02-12,0.3,true
nodle,Nodle,direct,,,,,,2026-02-12,0.3,true
nomad,Nomad,direct,,,,,,2026-02-12,0.3,true
notional,Notional,direct,,,,,,2026-02-12,0.3,true
nucleus,Nucleus,direct,,,,,,2026-02-12,0.3,true
oasis,Oasis,direct,,,,,,2026-02-12,0.3,true
obyte,Obyte,direct,,,,,,2026-02-12,0.3,true
oceanprotocol,Oceanprotocol,direct,,,,,,2026-02-12,0.3,true
octopusnetwork,Octopusnetwork,direct,,,,,,2026-02-12,0.3,true
ofza-1,Ofza 1,direct,,,,,,2026-02-12,0.3,true
olafinance,Olafinance,direct,,,,,,2026-02-12,0.3,true
olympus,Olympus,direct,,,,,,2026-02-12,0.3,true
omni-network,Omni Network,direct,,,,,,2026-02-12,0.3,true
omron,Omron,direct,,,,,,2026-02-12,0.3,true
ondofinance,Ondo Finance,direct,,,,,,2026-02-12,0.3,true
openzeppelin-stellar,Openzeppelin Stellar,direct,,,,,,2026-02-12,0.3,true
openzeppelin,Openzeppelin,direct,,,,,,2026-02-12,0.3,true
optimism,Optimism,direct,,,,,,2026-02-12,0.3,true
opyngamma,Opyngamma,direct,,,,,,2026-02-12,0.3,true
opynsqueeth,Opynsqueeth,direct,,,,,,2026-02-12,0.3,true
orca,Orca,direct,,,,,,2026-02-12,0.3,true
orderlynetwork,Orderlynetwork,direct,,,,,,2026-02-12,0.3,true
origin-protocol,Origin Protocol,direct,,,,,,2026-02-12,0.3,true
origindefi,Origindefi,direct,,,,,,2026-02-12,0.3,true
ostium,Ostium,direct,,,,,,2026-02-12,0.3,true
overlay,Overlay,direct,,,,,,2026-02-12,0.3,true
pact,Pact,direct,,,,,,2026-02-12,0.3,true
pancakeswap,PancakeSwap,direct,,,,,,2026-02-12,0.3,true
pantos,Pantos,direct,,,,,,2026-02-12,0.3,true
paradex,Paradex,direct,,,,,,2026-02-12,0.3,true
paragonsdao,Paragonsdao,direct,,,,,,2026-02-12,0.3,true
parallel,Parallel,direct,,,,,,2026-02-12,0.3,true
parallelwallet,Parallelwallet,direct,,,,,,2026-02-12,0.3,true
pareto,Pareto,direct,,,,,,2026-02-12,0.3,true
paribus,Paribus,direct,,,,,,2026-02-12,0.3,true
pendle,Pendle,direct,,,,,,2026-02-12,0.3,true
perennial,Perennial,direct,,,,,,2026-02-12,0.3,true
perpetual,Perpetual,direct,,,,,,2026-02-12,0.3,true
pikaprotocol,Pikaprotocol,direct,,,,,,2026-02-12,0.3,true
pillar,Pillar,direct,,,,,,2026-02-12,0.3,true
pinto,Pinto,direct,,,,,,2026-02-12,0.3,true
plaza-finance,Plaza Finance,direct,,,,,,2026-02-12,0.3,true
plume-network,Plume Network,direct,,,,,,2026-02-12,0.3,true
pnetwork,Pnetwork,direct,,,,,,2026-02-12,0.3,true
pods,Pods,direct,,,,,,2026-02-12,0.3,true
polkastarter,Polkastarter,direct,,,,,,2026-02-12,0.3,true
polygon,Polygon,direct,,,,,,2026-02-12,0.3,true
polygonzkevm,Polygonzkevm,direct,,,,,,2026-02-12,0.3,true
polymarket,Polymarket,direct,,,,,,2026-02-12,0.3,true
polymesh,Polymesh,direct,,,,,,2026-02-12,0.3,true
poolshark,Poolshark,direct,,,,,,2026-02-12,0.3,true
pooltogether,PoolTogether,direct,,,,,,2026-02-12,0.3,true
popsicle,Popsicle,direct,,,,,,2026-02-12,0.3,true
portfinance,Portfinance,direct,,,,,,2026-02-12,0.3,true
pragmaoracle,Pragmaoracle,direct,,,,,,2026-02-12,0.3,true
predyfinance,Predyfinance,direct,,,,,,2026-02-12,0.3,true
primitive,Primitive,direct,,,,,,2026-02-12,0.3,true
print3r,Print3r,direct,,,,,,2026-02-12,0.3,true
pstake,Pstake,direct,,,,,,2026-02-12,0.3,true
pstakeoncosmos,Pstakeoncosmos,direct,,,,,,2026-02-12,0.3,true
pushprotocol,Pushprotocol,direct,,,,,,2026-02-12,0.3,true
pythnetwork,Pyth Network,direct,,,,,,2026-02-12,0.3,true
qblockchain,Qblockchain,direct,,,,,,2026-02-12,0.3,true
quadrata,Quadrata,direct,,,,,,2026-02-12,0.3,true
radiant,Radiant,direct,,,,,,2026-02-12,0.3,true
rai,Rai,direct,,,,,,2026-02-12,0.3,true
rangeprotocol,Rangeprotocol,direct,,,,,,2026-02-12,0.3,true
raydium,Raydium,direct,,,,,,2026-02-12,0.3,true
reaperfarm,Reaperfarm,direct,,,,,,2026-02-12,0.3,true
ref-finance,Ref Finance,direct,,,,,,2026-02-12,0.3,true
renzoprotocol,Renzo Protocol,direct,,,,,,2026-02-12,0.3,true
reserve,Reserve,direct,,,,,,2026-02-12,0.3,true
resolv,Resolv,direct,,,,,,2026-02-12,0.3,true
resonate,Resonate,direct,,,,,,2026-02-12,0.3,true
revert,Revert,direct,,,,,,2026-02-12,0.3,true
revest,Revest,direct,,,,,,2026-02-12,0.3,true
rhinofi,Rhino.fi,direct,,,,,,2026-02-12,0.3,true
ribbon,Ribbon,direct,,,,,,2026-02-12,0.3,true
ringdao,Ringdao,direct,,,,,,2026-02-12,0.3,true
rocketpool,Rocket Pool,direct,,,,,,2026-02-12,0.3,true
router,Router,direct,,,,,,2026-02-12,0.3,true
royco,Royco,direct,,,,,,2026-02-12,0.3,true
rubic,Rubic,direct,,,,,,2026-02-12,0.3,true
ruscet,Ruscet,direct,,,,,,2026-02-12,0.3,true
rysk,Rysk,direct,,,,,,2026-02-12,0.3,true
scroll,Scroll,direct,,,,,,2026-02-12,0.3,true
sectorfinance,Sectorfinance,direct,,,,,,2026-02-12,0.3,true
securefi,Securefi,direct,,,,,,2026-02-12,0.3,true
segmentfinance,Segmentfinance,direct,,,,,,2026-02-12,0.3,true
sei,Sei,direct,,,,,,2026-02-12,0.3,true
serai,Serai,direct,,,,,,2026-02-12,0.3,true
shellprotocol,Shellprotocol,direct,,,,,,2026-02-12,0.3,true
sherlock,Sherlock,direct,,,,,,2026-02-12,0.3,true
silofinance-v2,Silo Finance V2,direct,,,,,,2026-02-12,0.3,true
silofinance,Silofinance,direct,,,,,,2026-02-12,0.3,true
singularitydao,Singularitydao,direct,,,,,,2026-02-12,0.3,true
skatefi,Skatefi,direct,,,,,,2026-02-12,0.3,true
sky,Sky,direct,,,,,,2026-02-12,0.3,true
smardex,Smardex,direct,,,,,,2026-02-12,0.3,true
sns,Sns,direct,,,,,,2026-02-12,0.3,true
sommelier,Sommelier,direct,,,,,,2026-02-12,0.3,true
sora,Sora,direct,,,,,,2026-02-12,0.3,true
sovryn,Sovryn,direct,,,,,,2026-02-12,0.3,true
sparklend,Spark,direct,,,,,,2026-02-12,0.3,true
spectral,Spectral,direct,,,,,,2026-02-12,0.3,true
spookyswap,Spookyswap,direct,,,,,,2026-02-12,0.3,true
spool,Spool,direct,,,,,,2026-02-12,0.3,true
spot,Spot,direct,,,,,,2026-02-12,0.3,true
ssv-network,SSV Network,direct,,,,,,2026-02-12,0.3,true
stackingdao,StackingDAO,direct,,,,,,2026-02-12,0.3,true
stacks,Stacks,direct,,,,,,2026-02-12,0.3,true
staderforbnb,Staderforbnb,direct,,,,,,2026-02-12,0.3,true
staderforeth,Stader for ETH,direct,,,,,,2026-02-12,0.3,true
staderforpolygon,StaderforPolygon,direct,,,,,,2026-02-12,0.3,true
stafi,Stafi,direct,,,,,,2026-02-12,0.3,true
stakeeasy,Stakeeasy,direct,,,,,,2026-02-12,0.3,true
stakelink,Stakelink,direct,,,,,,2026-02-12,0.3,true
stakestone,StakeStone,direct,,,,,,2026-02-12,0.3,true
stakewise,Stakewise,direct,,,,,,2026-02-12,0.3,true
stargate,Stargate,direct,,,,,,2026-02-12,0.3,true
starkex,StarkEx,direct,,,,,,2026-02-12,0.3,true
starknet-staking,Starknet Staking,direct,,,,,,2026-02-12,0.3,true
starknet,StarkNet,direct,,,,,,2026-02-12,0.3,true
stellar,Stellar,direct,,,,,,2026-02-12,0.3,true
stellaswap,Stellaswap,direct,,,,,,2026-02-12,0.3,true
strikefinance,Strikefinance,direct,,,,,,2026-02-12,0.3,true
sturdy,Sturdy,direct,,,,,,2026-02-12,0.3,true
summerfi,Summerfi,direct,,,,,,2026-02-12,0.3,true
superbots,Superbots,direct,,,,,,2026-02-12,0.3,true
superfluid,Superfluid,direct,,,,,,2026-02-12,0.3,true
superform,Superform,direct,,,,,,2026-02-12,0.3,true
sushiswap,SushiSwap,direct,,,,,,2026-02-12,0.3,true
swappi,Swappi,direct,,,,,,2026-02-12,0.3,true
sweateconomy,Sweat Economy,direct,,,,,,2026-02-12,0.3,true
swell,Swell,direct,,,,,,2026-02-12,0.3,true
symbiosis,Symbiosis,direct,,,,,,2026-02-12,0.3,true
symbiotic,Symbiotic,direct,,,,,,2026-02-12,0.3,true
synfutures,SynFutures,direct,,,,,,2026-02-12,0.3,true
synthetix,Synthetix,direct,,,,,,2026-02-12,0.3,true
teahousefinance,Teahousefinance,direct,,,,,,2026-02-12,0.3,true
templar-protocol,Templar Protocol,direct,,,,,,2026-02-12,0.3,true
termstructurelabs,Termstructurelabs,direct,,,,,,2026-02-12,0.3,true
tetu,Tetu,direct,,,,,,2026-02-12,0.3,true
thala-protocol,Thala Protocol,direct,,,,,,2026-02-12,0.3,true
thegraph,The Graph,direct,,,,,,2026-02-12,0.3,true
thesandbox,Thesandbox,direct,,,,,,2026-02-12,0.3,true
thorchain,THORChain,direct,,,,,,2026-02-12,0.3,true
thresholdnetwork,Threshold Network,direct,,,,,,2026-02-12,0.3,true
thusd,Thusd,direct,,,,,,2026-02-12,0.3,true
tidal,Tidal,direct,,,,,,2026-02-12,0.3,true
timelessandbunni,Timelessandbunni,direct,,,,,,2026-02-12,0.3,true
tinyman,Tinyman,direct,,,,,,2026-02-12,0.3,true
tinymanv2,Tinymanv2,direct,,,,,,2026-02-12,0.3,true
tokemak,Tokemak,direct,,,,,,2026-02-12,0.3,true
toucan,Toucan,direct,,,,,,2026-02-12,0.3,true
traderjoe,Trader Joe,direct,,,,,,2026-02-12,0.3,true
tranchess,Tranchess,direct,,,,,,2026-02-12,0.3,true
tropykus,Tropykus,direct,,,,,,2026-02-12,0.3,true
trufin,Trufin,direct,,,,,,2026-02-12,0.3,true
uniswaponzksync,Uniswaponzksync,direct,,,,,,2026-02-12,0.3,true
universalpage,Universalpage,direct,,,,,,2026-02-12,0.3,true
unstoppablewallet,Unstoppablewallet,direct,,,,,,2026-02-12,0.3,true
usdn,Usdn,direct,,,,,,2026-02-12,0.3,true
usdt0,USDT0,direct,,,,,,2026-02-12,0.3,true
usx,Usx,direct,,,,,,2026-02-12,0.3,true
utix,Utix,direct,,,,,,2026-02-12,0.3,true
vaultcraft,Vaultcraft,direct,,,,,,2026-02-12,0.3,true
